x,y,median_button,summed_button,summed_button_BGsub,std_button,x_button_center,y_button_center,radius_button_disk,median_button_annulus,summed_button_annulus_normed,std_button_annulus_localBG,inner_radius_button_annulus,outer_radius_button_annulus,xslice,yslice,id,postwash_images
1,1,3648,1611324,-204780,124,50,48,12,3722,1816104,1223,12,12,"(414, 514)","(546, 646)",0_0,0
1,2,3673,1621968,-148696,116,51,49,12,3731,1770664,1037,12,12,"(513, 613)","(546, 646)",0_0,0
1,3,3772,1661228,-152258,120,52,49,12,3824,1813486,1093,12,12,"(612, 712)","(546, 646)",0_0,0
1,4,3944,1734716,-99306,136,52,49,12,3969,1834022,893,12,12,"(712, 812)","(547, 647)",0_0,0
1,5,4025,1779612,-55932,181,64,40,12,4036,1835544,580,12,12,"(811, 911)","(547, 647)",0_0,0
1,6,4293,1892825,-1105,149,52,49,12,4292,1893930,157,12,12,"(911, 1011)","(547, 647)",0_0,0
1,7,4131,1822840,990,141,51,50,12,4133,1821850,141,12,12,"(1010, 1110)","(548, 648)",0_0,0
1,8,4002,1766686,4674,133,51,49,12,3993,1762012,135,12,12,"(1110, 1210)","(548, 648)",0_0,0
1,9,5953,3407002,1673835,3826,50,49,12,3932,1733167,139,12,12,"(1209, 1309)","(549, 649)",32_4,0
1,10,5736,3404541,1682065,3968,50,49,12,3908,1722476,137,12,12,"(1309, 1409)","(549, 649)",32_4,0
1,11,4228,2036281,324077,791,50,49,12,3881,1712204,137,12,12,"(1408, 1508)","(549, 649)",30_4,0
1,12,4324,2074782,337737,824,49,48,12,3935,1737045,143,12,12,"(1508, 1608)","(550, 650)",30_4,0
1,13,5566,3458238,1676267,3930,49,48,12,4046,1781971,156,12,12,"(1607, 1707)","(550, 650)",32_4,0
1,14,6103,3553951,1751310,4058,49,48,12,4091,1802641,160,12,12,"(1706, 1806)","(550, 650)",32_4,0
1,15,4830,2300373,395866,900,47,46,12,4342,1904507,226,12,12,"(1806, 1906)","(551, 651)",30_4,0
1,16,4759,2266250,370294,879,48,46,12,4302,1895956,155,12,12,"(1905, 2005)","(551, 651)",30_4,0
1,17,6467,3763242,1916674,4397,47,45,12,4188,1846568,147,12,12,"(2005, 2105)","(552, 652)",32_4,0
1,18,6791,3661390,1880572,4211,48,45,12,4048,1780818,145,12,12,"(2104, 2204)","(552, 652)",32_4,0
1,19,4310,1993383,258736,586,48,45,12,3939,1734647,141,12,12,"(2204, 2304)","(552, 652)",30_4,0
1,20,4270,1986079,273053,619,48,45,12,3881,1713026,139,12,12,"(2303, 2403)","(553, 653)",30_4,0
1,21,8497,4645191,2890205,6178,48,45,12,3975,1754986,149,12,12,"(2403, 2503)","(553, 653)",32_2,0
1,22,8913,4559215,2796713,5965,48,46,12,4000,1762502,153,12,12,"(2502, 2602)","(554, 654)",32_2,0
1,23,4848,2368718,602274,1336,49,45,12,4006,1766444,158,12,12,"(2602, 2702)","(554, 654)",30_2,0
1,24,4897,2344345,568757,1293,49,45,12,4025,1775588,177,12,12,"(2701, 2801)","(554, 654)",30_2,0
1,25,8840,4559868,2679952,5519,48,45,12,4268,1879916,160,12,12,"(2800, 2900)","(555, 655)",32_2,0
1,26,9040,4684853,2880386,6181,48,45,12,4097,1804467,150,12,12,"(2900, 3000)","(555, 655)",32_2,0
1,27,4944,2376481,643478,1431,49,45,12,3927,1733003,139,12,12,"(2999, 3099)","(555, 655)",30_2,0
1,28,5157,2433910,740309,1554,49,45,12,3837,1693601,136,12,12,"(3099, 3199)","(556, 656)",30_2,0
1,29,8655,4535639,2866740,6054,50,46,12,3783,1668899,137,12,12,"(3198, 3298)","(556, 656)",32_2,0
1,30,8936,4584509,2906154,6261,50,45,12,3805,1678355,146,12,12,"(3298, 3398)","(557, 657)",32_2,0
1,31,4665,2214113,534209,1203,50,46,12,3811,1679904,142,12,12,"(3397, 3497)","(557, 657)",30_2,0
1,32,4710,2265375,570344,1282,51,46,12,3851,1695031,152,12,12,"(3497, 3597)","(557, 657)",30_2,0
1,33,7523,3854228,2138311,4600,51,46,12,3897,1715917,164,12,12,"(3596, 3696)","(558, 658)",28_4,0
1,34,8052,4081001,2274720,4762,50,46,12,4105,1806281,157,12,12,"(3696, 3796)","(558, 658)",28_4,0
1,35,4832,2259414,513039,1053,51,46,12,3967,1746375,150,12,12,"(3795, 3895)","(558, 658)",26_4,0
1,36,4741,2193815,505411,1052,50,47,12,3833,1688404,140,12,12,"(3894, 3994)","(559, 659)",26_4,0
1,37,8544,3999295,2321106,4503,51,47,12,3807,1678189,148,12,12,"(3994, 4094)","(559, 659)",28_4,0
1,38,8855,3881536,2233614,4111,51,47,12,3737,1647922,141,12,12,"(4093, 4193)","(560, 660)",28_4,0
1,39,4679,2120085,493943,983,51,47,12,3688,1626142,140,12,12,"(4193, 4293)","(560, 660)",26_4,0
1,40,4707,2125925,469101,934,51,48,12,3759,1656824,138,12,12,"(4292, 4392)","(560, 660)",26_4,0
1,41,9345,4178569,2419053,4504,51,48,12,4006,1759516,203,12,12,"(4392, 4492)","(561, 661)",28_4,0
1,42,9759,4259935,2569151,4748,52,48,12,3838,1690784,167,12,12,"(4491, 4591)","(561, 661)",28_4,0
1,43,5191,2355644,522115,1027,50,47,12,4169,1833529,179,12,12,"(4591, 4691)","(562, 662)",26_4,0
1,44,5029,2274104,492678,993,51,48,12,4046,1781426,156,12,12,"(4690, 4790)","(562, 662)",26_4,0
1,45,12354,5470877,3704625,6841,51,47,12,4001,1766252,154,12,12,"(4790, 4890)","(562, 662)",28_2,0
1,46,12743,5503525,3689374,6818,51,48,12,4112,1814151,237,12,12,"(4889, 4989)","(563, 663)",28_2,0
1,47,5577,2556493,896407,1751,51,49,12,3764,1660086,144,12,12,"(4988, 5088)","(563, 663)",26_2,0
1,48,5799,2614902,966268,1872,52,48,12,3731,1648634,141,12,12,"(5088, 5188)","(563, 663)",26_2,0
1,49,12688,5541741,3867029,7021,51,49,12,3800,1674712,146,12,12,"(5187, 5287)","(564, 664)",28_2,0
1,50,12198,5396289,3710845,6871,52,49,12,3818,1685444,147,12,12,"(5287, 5387)","(564, 664)",28_2,0
1,51,5870,2670268,978942,1893,51,49,12,3839,1691326,165,12,12,"(5386, 5486)","(565, 665)",26_2,0
1,52,6284,2761900,1017726,1780,51,49,12,3949,1744174,195,12,12,"(5486, 5586)","(565, 665)",26_2,0
1,53,12470,5291741,3533693,6223,52,49,12,3999,1758048,184,12,12,"(5585, 5685)","(565, 665)",28_2,0
1,54,13655,5523987,3855806,6498,51,49,12,3788,1668181,175,12,12,"(5685, 5785)","(566, 666)",28_2,0
1,55,6451,2725682,1153456,1897,52,50,12,3571,1572226,151,12,12,"(5784, 5884)","(566, 666)",26_2,0
1,56,6816,2742686,1221781,1736,51,50,12,3451,1520905,140,12,12,"(5884, 5984)","(567, 667)",26_2,0
2,1,4653,2284538,369883,1220,49,48,12,4023,1914655,1153,12,12,"(412, 512)","(745, 845)",24_4,0
2,2,4660,2350499,472028,1412,50,49,12,4006,1878471,1048,12,12,"(511, 611)","(745, 845)",24_4,0
2,3,4333,2078677,275258,738,53,55,12,4059,1803419,276,12,12,"(610, 710)","(745, 845)",22_4,0
2,4,4393,2122968,220682,763,51,49,12,4173,1902286,753,12,12,"(710, 810)","(746, 846)",22_4,0
2,5,4585,2522982,599108,1801,51,49,12,4219,1923874,755,12,12,"(809, 909)","(746, 846)",24_4,0
2,6,4911,2686978,680376,1865,51,49,12,4555,2006602,180,12,12,"(909, 1009)","(746, 846)",24_4,0
2,7,4726,2263265,290179,761,50,49,12,4478,1973086,167,12,12,"(1008, 1108)","(747, 847)",22_4,0
2,8,4647,2265604,347628,883,50,49,12,4354,1917976,167,12,12,"(1108, 1208)","(747, 847)",22_4,0
2,9,4737,2812184,938670,2471,49,49,12,4249,1873514,158,12,12,"(1207, 1307)","(748, 848)",24_4,0
2,10,4672,2793335,932315,2438,50,48,12,4218,1861020,156,12,12,"(1307, 1407)","(748, 848)",24_4,0
2,11,4518,2207513,366894,921,50,49,12,4170,1840619,168,12,12,"(1406, 1506)","(748, 848)",22_4,0
2,12,4643,2321361,464500,1129,49,48,12,4214,1856861,166,12,12,"(1506, 1606)","(749, 849)",22_4,0
2,13,5461,3828932,1842719,4744,49,48,12,4517,1986213,205,12,12,"(1605, 1705)","(749, 849)",24_2,0
2,14,5456,3923391,2011276,5092,50,48,12,4333,1912115,207,12,12,"(1704, 1804)","(749, 849)",24_2,0
2,15,5311,2855927,885354,2156,48,47,12,4483,1970573,242,12,12,"(1804, 1904)","(750, 850)",22_2,0
2,16,5300,2915869,933389,2260,48,47,12,4501,1982480,169,12,12,"(1903, 2003)","(750, 850)",22_2,0
2,17,5551,3850034,1911354,4982,48,46,12,4382,1938680,305,12,12,"(2003, 2103)","(751, 851)",24_2,0
2,18,6103,4081592,2192120,5224,49,47,12,4285,1889472,163,12,12,"(2102, 2202)","(751, 851)",24_2,0
2,19,5100,2720543,866247,2102,49,46,12,4209,1854296,159,12,12,"(2202, 2302)","(751, 851)",22_2,0
2,20,5186,2739739,917007,2116,49,47,12,4137,1822732,158,12,12,"(2301, 2401)","(752, 852)",22_2,0
2,21,6373,3812996,1983909,4629,49,46,12,4152,1829087,159,12,12,"(2401, 2501)","(752, 852)",24_2,0
2,22,5942,3731327,1905193,4450,49,47,12,4151,1826134,164,12,12,"(2500, 2600)","(753, 853)",24_2,0
2,23,4927,2589344,759981,1731,49,46,12,4161,1829363,180,12,12,"(2600, 2700)","(753, 853)",22_2,0
2,24,5007,2553689,753025,1714,50,47,12,4081,1800664,197,12,12,"(2699, 2799)","(753, 853)",22_2,0
2,25,6348,3494440,1562353,3502,48,47,12,4396,1932087,183,12,12,"(2798, 2898)","(754, 854)",20_4,0
2,26,6152,3477376,1590289,3586,49,46,12,4288,1887087,164,12,12,"(2898, 2998)","(754, 854)",20_4,0
2,27,4550,2165009,335139,763,50,47,12,4157,1829870,165,12,12,"(2997, 3097)","(754, 854)",18_4,0
2,28,4553,2176554,379002,842,50,47,12,4085,1797552,156,12,12,"(3097, 3197)","(755, 855)",18_4,0
2,29,6427,3515079,1736361,3993,50,47,12,4038,1778718,154,12,12,"(3196, 3296)","(755, 855)",20_4,0
2,30,5988,3597532,1821169,4241,50,47,12,4032,1776363,171,12,12,"(3296, 3396)","(756, 856)",20_4,0
2,31,4408,2101745,327679,778,51,47,12,4031,1774066,159,12,12,"(3395, 3495)","(756, 856)",18_4,0
2,32,4604,2152453,362386,798,51,47,12,4065,1790067,193,12,12,"(3495, 3595)","(756, 856)",18_4,0
2,33,6644,3669663,1890593,4264,51,48,12,4049,1779070,190,12,12,"(3594, 3694)","(757, 857)",20_4,0
2,34,7130,3920127,2013035,4477,50,47,12,4339,1907092,198,12,12,"(3694, 3794)","(757, 857)",20_4,0
2,35,4777,2268331,391130,864,51,48,12,4264,1877201,177,12,12,"(3793, 3893)","(757, 857)",18_4,0
2,36,5002,2307424,468435,988,51,49,12,4177,1838989,167,12,12,"(3892, 3992)","(758, 858)",18_4,0
2,37,9420,5052524,3224652,6852,51,48,12,4155,1827872,168,12,12,"(3992, 4092)","(758, 858)",20_2,0
2,38,9949,4953843,3142381,6555,51,49,12,4113,1811462,167,12,12,"(4091, 4191)","(759, 859)",20_2,0
2,39,5362,2629605,825017,1786,51,49,12,4103,1804588,172,12,12,"(4191, 4291)","(759, 859)",18_2,0
2,40,5374,2568549,777648,1660,52,50,12,4072,1790901,176,12,12,"(4290, 4390)","(759, 859)",18_2,0
2,41,9670,5124740,3311877,6881,51,49,12,4119,1812863,171,12,12,"(4390, 4490)","(760, 860)",20_2,0
