x,y,median_button,summed_button,summed_button_BGsub,std_button,x_button_center,y_button_center,radius_button_disk,median_button_annulus,summed_button_annulus_normed,std_button_annulus_localBG,inner_radius_button_annulus,outer_radius_button_annulus,xslice,yslice,id,postwash_images
1,1,4019,1730882,292378,552,50,48,12,3066,1438504,622,12,12,"(414, 514)","(546, 646)",0_0,0
1,2,4033,1754154,366362,613,51,49,12,3031,1387792,441,12,12,"(513, 613)","(546, 646)",0_0,0
1,3,4076,1800129,396460,668,52,49,12,3052,1403669,504,12,12,"(612, 712)","(546, 646)",0_0,0
1,4,4239,1858113,465226,675,52,49,12,3054,1392887,456,12,12,"(712, 812)","(547, 647)",0_0,0
1,5,3213,2222065,671032,8216,64,40,12,3111,1551033,887,12,12,"(811, 911)","(547, 647)",0_0,0
1,6,5030,2230559,840040,1182,52,49,12,3144,1390519,123,12,12,"(911, 1011)","(547, 647)",0_0,0
1,7,5366,2365394,992688,1349,51,50,12,3103,1372706,108,12,12,"(1010, 1110)","(548, 648)",0_0,0
1,8,5745,2511987,1151304,1562,51,49,12,3073,1360683,162,12,12,"(1110, 1210)","(548, 648)",0_0,0
1,9,5886,2564082,1224197,1461,50,49,12,3033,1339885,100,12,12,"(1209, 1309)","(549, 649)",32_4,0
1,10,6100,2621319,1296352,1626,50,49,12,2997,1324967,98,12,12,"(1309, 1409)","(549, 649)",32_4,0
1,11,6269,2737667,1415194,1810,50,49,12,2989,1322473,99,12,12,"(1408, 1508)","(549, 649)",30_4,0
1,12,6438,2787113,1452791,1835,49,48,12,3014,1334322,103,12,12,"(1508, 1608)","(550, 650)",30_4,0
1,13,6450,2802933,1469464,1834,49,48,12,3019,1333469,102,12,12,"(1607, 1707)","(550, 650)",32_4,0
1,14,6540,2819233,1489167,1860,49,48,12,3011,1330066,121,12,12,"(1706, 1806)","(550, 650)",32_4,0
1,15,6878,2894864,1518941,1993,47,46,12,3112,1375923,134,12,12,"(1806, 1906)","(551, 651)",30_4,0
1,16,7023,3008787,1630260,2020,48,46,12,3122,1378527,110,12,12,"(1905, 2005)","(551, 651)",30_4,0
1,17,6875,2924849,1562854,1940,47,45,12,3081,1361995,103,12,12,"(2005, 2105)","(552, 652)",32_4,0
1,18,6942,2890352,1545333,1907,48,45,12,3041,1345019,100,12,12,"(2104, 2204)","(552, 652)",32_4,0
1,19,7129,2911308,1581947,1958,48,45,12,3006,1329361,101,12,12,"(2204, 2304)","(552, 652)",30_4,0
1,20,7194,2976953,1654666,1989,48,45,12,2995,1322287,95,12,12,"(2303, 2403)","(553, 653)",30_4,0
1,21,7008,2845708,1515542,1884,48,45,12,3009,1330166,100,12,12,"(2403, 2503)","(553, 653)",32_2,0
1,22,6925,2784469,1457973,1902,48,46,12,3002,1326496,100,12,12,"(2502, 2602)","(554, 654)",32_2,0
1,23,6824,2725446,1403044,1829,49,45,12,2996,1322402,96,12,12,"(2602, 2702)","(554, 654)",30_2,0
1,24,6690,2680550,1353602,1906,49,45,12,3008,1326948,101,12,12,"(2701, 2801)","(554, 654)",30_2,0
1,25,6830,2716434,1343062,1798,48,45,12,3112,1373372,104,12,12,"(2800, 2900)","(555, 655)",32_2,0
1,26,6721,2763801,1410995,2100,48,45,12,3063,1352806,94,12,12,"(2900, 3000)","(555, 655)",32_2,0
1,27,6636,2696165,1356594,1973,49,45,12,3031,1339571,97,12,12,"(2999, 3099)","(555, 655)",30_2,0
1,28,6879,2908544,1578573,2259,49,45,12,3009,1329971,109,12,12,"(3099, 3199)","(556, 656)",30_2,0
1,29,6377,2638437,1325932,1994,50,46,12,2971,1312505,97,12,12,"(3198, 3298)","(556, 656)",32_2,0
1,30,6239,2670385,1354633,2167,50,45,12,2975,1315752,93,12,12,"(3298, 3398)","(557, 657)",32_2,0
1,31,6522,2754181,1431575,2235,50,46,12,2995,1322606,94,12,12,"(3397, 3497)","(557, 657)",30_2,0
1,32,6501,2840720,1525601,2527,51,46,12,2977,1315119,100,12,12,"(3497, 3597)","(557, 657)",30_2,0
1,33,6494,2774039,1457067,2361,51,46,12,2984,1316972,105,12,12,"(3596, 3696)","(558, 658)",28_4,0
1,34,6844,2987426,1618102,2603,50,46,12,3106,1369324,113,12,12,"(3696, 3796)","(558, 658)",28_4,0
1,35,6973,3073407,1726036,2635,51,46,12,3052,1347371,100,12,12,"(3795, 3895)","(558, 658)",26_4,0
1,36,7167,3136943,1804478,2783,50,47,12,3013,1332465,99,12,12,"(3894, 3994)","(559, 659)",26_4,0
1,37,7228,3158897,1844266,2795,51,47,12,2974,1314631,98,12,12,"(3994, 4094)","(559, 659)",28_4,0
1,38,7100,3003692,1708688,2429,51,47,12,2928,1295004,103,12,12,"(4093, 4193)","(560, 660)",28_4,0
1,39,7349,3130564,1844120,2764,51,47,12,2910,1286444,92,12,12,"(4193, 4293)","(560, 660)",26_4,0
1,40,7190,3121750,1825883,2795,51,48,12,2925,1295867,122,12,12,"(4292, 4392)","(560, 660)",26_4,0
1,41,7558,3137176,1849409,2783,51,48,12,2915,1287767,93,12,12,"(4392, 4492)","(561, 661)",28_4,0
1,42,7271,3123277,1836112,2758,52,48,12,2912,1287165,105,12,12,"(4491, 4591)","(561, 661)",28_4,0
1,43,7719,3243047,1899293,2844,50,47,12,3044,1343754,111,12,12,"(4591, 4691)","(562, 662)",26_4,0
1,44,7353,3135041,1825726,2754,51,48,12,2966,1309315,99,12,12,"(4690, 4790)","(562, 662)",26_4,0
1,45,7355,3125984,1844360,2781,51,47,12,2901,1281624,99,12,12,"(4790, 4890)","(562, 662)",28_2,0
1,46,7259,3097802,1816360,2732,51,48,12,2867,1281442,156,12,12,"(4889, 4989)","(563, 663)",28_2,0
1,47,7456,3076822,1850274,2794,51,49,12,2775,1226548,94,12,12,"(4988, 5088)","(563, 663)",26_2,0
1,48,7285,3112530,1895802,2815,52,48,12,2751,1216728,91,12,12,"(5088, 5188)","(563, 663)",26_2,0
1,49,7342,3068196,1845470,2770,51,49,12,2763,1222726,100,12,12,"(5187, 5287)","(564, 664)",28_2,0
1,50,7149,3018926,1796410,2752,52,49,12,2765,1222516,99,12,12,"(5287, 5387)","(564, 664)",28_2,0
1,51,7282,3059979,1844163,2808,51,49,12,2750,1215816,101,12,12,"(5386, 5486)","(565, 665)",26_2,0
1,52,7491,3155102,1900353,2787,51,49,12,2841,1254749,124,12,12,"(5486, 5586)","(565, 665)",26_2,0
1,53,7288,3100921,1841948,2700,52,49,12,2849,1258973,103,12,12,"(5585, 5685)","(565, 665)",28_2,0
1,54,7654,3172560,1935327,2724,51,49,12,2797,1237233,97,12,12,"(5685, 5785)","(566, 666)",28_2,0
1,55,8323,3310817,2090004,2748,52,50,12,2756,1220813,102,12,12,"(5784, 5884)","(566, 666)",26_2,0
1,56,9304,3572317,2357008,2664,51,50,12,2733,1215309,140,12,12,"(5884, 5984)","(567, 667)",26_2,0
2,1,3744,1682541,279831,552,49,48,12,3067,1402710,485,12,12,"(412, 512)","(745, 845)",24_4,0
2,2,3733,1674782,282479,534,50,49,12,3062,1392303,473,12,12,"(511, 611)","(745, 845)",24_4,0
2,3,3896,1968847,595244,4315,53,55,12,3073,1373603,209,12,12,"(610, 710)","(745, 845)",22_4,0
2,4,3902,1855935,463010,913,51,49,12,3092,1392925,383,12,12,"(710, 810)","(746, 846)",22_4,0
