Oligo_Identity,New_title,koff_median_MAX_181206,koff_err_MAX_181206,Kd_MAX_181206,Kd_err_MAX_181206,koff_median_MAX_190503,koff_err_MAX_190503,Kd_MAX_190503,Kd_err_MAX_190503,koff_median_MAX_190510_d3,koff_err_MAX_190510_d3,Kd_MAX_190510_d3,Kd_err_MAX_190510_d3,koff_median_Pho4_181206,koff_err_Pho4_181206,Kd_Pho4_181206,Kd_err_Pho4_181206,koff_median_Pho4_181217,koff_err_Pho4_181217,Kd_Pho4_181217,Kd_err_Pho4_181217,koff_median_Pho4_200710_d2,koff_err_Pho4_200710_d2,Kd_Pho4_200710_d2,Kd_err_Pho4_200710_d2
1,Motif + repeat 1,0.04488443123822585,0.004385709094671346,335.9896502974444,41.99326242121647,0.058143375730034405,0.0003092261077385115,2908.131476151924,236.95409221902403,0.058569113907502565,0.004474824437094311,1557.1352675674204,51.44369603385552,0.10565029534699774,0.011537999845992592,597.2512859984303,98.71445521549052,0.1364167834608373,0.004268227080018112,357.84863971143386,55.88958413194008,0.14685572705509556,0.005738834005403324,909.5584799122328,41.347167394331656
2,Motif + short repeat 3,0.05433503775362855,0.006374006931282565,289.84421620841874,29.07852254263271,0.07603624901392421,0.0009485873265168772,2629.5677044865724,210.1290749763412,0.06563295286953001,0.01623717918736595,1318.6324579397087,78.46215334519499,0.153843804932015,0.010153392294680378,713.8645973762065,93.2693590792962,0.1457765032285801,0.005947810492009892,,,0.16260399902173092,0.011524687490594621,1314.3537972873942,81.55261730086588
3,Mutated motif + random 1,0.0935183060452932,0.04706143176017673,4935.482744388572,613.3206712539178,0.08465013763793441,0.015862673234104414,10009.76155065904,1054.4841608129352,0.10762768512181786,0.005068226407717069,13165.930918752663,826.6902858553611,0.2534762540981206,0.021453916542888828,10654.25000799876,1825.0685360732,0.2659101555132936,0.012052580540479344,17184.770772981283,3285.236656017581,0.211650674811075,0.03391952384712454,7390.823392504958,896.007773631076
4,No motif + random 1,,,12491.897292162144,2336.505501883584,,,11715.361059346737,1206.141266268687,,,13524.180785485692,1683.6308293487828,,,11265.816337116954,2393.3994214109803,,,45755.01720954791,5570.096976068876,,,8716.249074118276,873.630958600618
5,Motif + repeat 2,0.0623445862980376,0.006351487515860475,,,0.04595987477408421,0.0036739367309929828,2932.073467578782,331.41971692827417,0.06236671569906821,0.003298537230897205,1437.9425159932855,75.03354480347448,0.10325146213746819,0.014901340629725307,357.039283666393,57.72472272593348,0.138836790047117,0.010637809741703846,,,0.173647768035159,0.00823151161792691,1571.9396061844147,74.28562756046459
6,Motif + short repeat 4,0.077190483531656,0.006400056610457417,397.6543828673336,49.8354152278834,0.06275307056781922,0.004633188122209704,2791.0766947719844,212.3495061251957,0.08176605674661067,0.008466380934311115,1108.9381768555647,51.42917303281556,0.2058868192489732,0.016596692848069174,2126.202193606107,310.8932965094541,0.2058005518165755,0.010328805115744544,763.7357591784006,115.49271780568957,0.15933296105191472,0.007412718828252298,1826.120595823412,105.2475146377468
7,Mutated motif + random 2,0.10112138195641496,0.04193619176383522,4545.007296336737,671.8454521691302,0.09166826615599741,0.010252992620434519,13076.244940723076,1778.085224317031,0.14374638100285955,0.003957232799574302,13805.211247857153,297.5968659951916,0.2325535884926289,0.03782284241479567,12042.609544845816,2164.40743415941,0.25808638329425726,0.0402935513788205,13203.905630862417,1537.126240384403,0.25331428396709654,0.046948602419790146,8999.80384473573,974.851053126097
8,No motif + random 2,,,11861.388216045274,2212.675717482303,,,9576.627872415927,1019.3742392751528,,,17722.961950118668,1280.9352696902608,,,13495.771315121568,3440.702320480097,,,30094.93151267041,3181.4981779479704,,,10527.8740607771,1550.197937699695
9,Motif + repeat 3,0.03790644362353865,0.008586178827989243,269.2927314862158,36.75235545087647,0.05510824310190181,0.0032042958296328076,2327.757914189527,264.10854107425297,0.061898432822764665,0.021230921521005898,1370.7422765251254,97.94648730780656,0.17014340576574985,0.03393714735475378,746.6005897346678,119.44047888518938,0.1339756476877116,0.008850397668460673,407.9260326809498,61.31629665925042,0.14158336059483906,0.00791837119255447,764.2424604113147,42.78686312507517
10,Motif + short repeat 5,0.0685696816144986,0.005103128213963527,466.5098095727406,43.77369450607489,0.0732714600066497,0.0044080766364660235,4693.531788612939,910.6408889414346,0.11280510984645345,0.031929998259988386,1727.2253923364883,72.17509299671863,0.1752165383683726,0.026969906753058447,1209.2892465801017,180.697782718396,0.1803338491061243,0.015637735371584444,,,0.18240979339640492,0.015569128312832336,1140.1555693995963,89.18086064535389
