Oligo_Identity,New_title,koff_median_MAX_181206,koff_err_MAX_181206,Kd_MAX_181206,Kd_err_MAX_181206,koff_median_MAX_190503,koff_err_MAX_190503,Kd_MAX_190503,Kd_err_MAX_190503,koff_median_MAX_190510_d3,koff_err_MAX_190510_d3,Kd_MAX_190510_d3,Kd_err_MAX_190510_d3,koff_median_Pho4_181206,koff_err_Pho4_181206,Kd_Pho4_181206,Kd_err_Pho4_181206,koff_median_Pho4_181217,koff_err_Pho4_181217,Kd_Pho4_181217,Kd_err_Pho4_181217,koff_median_Pho4_200710_d2,koff_err_Pho4_200710_d2,Kd_Pho4_200710_d2,Kd_err_Pho4_200710_d2
1,Motif + GT/AC repeat 1,0.04488443123822590,0.004385709094671350,335.9896502974440,41.99326242121650,0.058143375730034400,0.0003092261077385120,2908.131476151920,236.95409221902400,0.058569113907502600,0.004474824437094310,1557.1352675674200,51.44369603385550,0.10565029534699800,0.011537999845992600,597.2512859984300,98.71445521549050,0.1364167834608370,0.004268227080018110,357.84863971143400,55.88958413194010,0.14685572705509600,0.005738834005403320,909.5584799122330,41.347167394331700
2,Motif + short GT/AC repeat 3,0.05433503775362860,0.006374006931282570,289.84421620841900,29.07852254263270,0.07603624901392420,0.0009485873265168770,2629.5677044865700,210.1290749763410,0.06563295286953000,0.01623717918736600,1318.6324579397100,78.46215334519500,0.153843804932015,0.010153392294680400,713.8645973762070,93.2693590792962,0.1457765032285800,0.005947810492009890,,,0.16260399902173100,0.011524687490594600,1314.3537972873900,81.55261730086590
3,Mutated motif + random 1,0.0935183060452932,0.04706143176017670,4935.482744388570,613.3206712539180,0.08465013763793440,0.015862673234104400,10009.76155065900,1054.4841608129400,0.10762768512181800,0.005068226407717070,13165.930918752700,826.6902858553610,0.2534762540981210,0.021453916542888800,10654.25000799880,1825.0685360732,0.2659101555132940,0.012052580540479300,17184.770772981300,3285.236656017580,0.211650674811075,0.03391952384712450,7390.823392504960,896.007773631076
4,No motif + random 4,,,12491.897292162100,2336.505501883580,,,11715.361059346700,1206.141266268690,,,13524.180785485700,1683.6308293487800,,,11265.816337117000,2393.3994214109800,,,45755.01720954790,5570.096976068880,,,8716.249074118280,873.630958600618
5,Motif + AT/CG repeat 1,0.0623445862980376,0.006351487515860480,,,0.04595987477408420,0.0036739367309929800,2932.073467578780,331.41971692827400,0.06236671569906820,0.003298537230897210,1437.9425159932900,75.03354480347450,0.10325146213746800,0.014901340629725300,357.039283666393,57.72472272593350,0.138836790047117,0.010637809741703800,,,0.173647768035159,0.00823151161792691,1571.9396061844100,74.28562756046460
6,Motif + short CG/AT repeat 1,0.077190483531656,0.006400056610457420,397.6543828673340,49.8354152278834,0.06275307056781920,0.004633188122209700,2791.0766947719800,212.3495061251960,0.08176605674661070,0.008466380934311120,1108.9381768555600,51.42917303281560,0.2058868192489730,0.016596692848069200,2126.202193606110,310.8932965094540,0.2058005518165760,0.010328805115744500,763.7357591784010,115.49271780569000,0.15933296105191500,0.007412718828252300,1826.120595823410,105.2475146377470
7,Mutated motif + random 2,0.10112138195641500,0.04193619176383520,4545.007296336740,671.8454521691300,0.09166826615599740,0.010252992620434500,13076.244940723100,1778.085224317030,0.14374638100286000,0.003957232799574300,13805.211247857200,297.5968659951920,0.2325535884926290,0.03782284241479570,12042.609544845800,2164.40743415941,0.25808638329425700,0.0402935513788205,13203.905630862400,1537.126240384400,0.25331428396709700,0.046948602419790100,8999.80384473573,974.851053126097
8,No motif + random 5,,,11861.388216045300,2212.675717482300,,,9576.627872415930,1019.3742392751500,,,17722.961950118700,1280.9352696902600,,,13495.771315121600,3440.702320480100,,,30094.93151267040,3181.4981779479700,,,10527.8740607771,1550.197937699700
9,Motif + GT/AC repeat 2,0.03790644362353870,0.008586178827989240,269.2927314862160,36.75235545087650,0.05510824310190180,0.0032042958296328100,2327.757914189530,264.10854107425300,0.061898432822764700,0.021230921521005900,1370.7422765251300,97.94648730780660,0.17014340576575000,0.03393714735475380,746.6005897346680,119.44047888518900,0.1339756476877120,0.008850397668460670,407.9260326809500,61.31629665925040,0.14158336059483900,0.00791837119255447,764.2424604113150,42.78686312507520
10,Motif + short A/T repeat 1,0.0685696816144986,0.005103128213963530,466.5098095727410,43.77369450607490,0.0732714600066497,0.0044080766364660200,4693.531788612940,910.6408889414350,0.11280510984645300,0.031929998259988400,1727.2253923364900,72.17509299671860,0.1752165383683730,0.026969906753058400,1209.2892465801000,180.697782718396,0.1803338491061240,0.015637735371584400,,,0.18240979339640500,0.015569128312832300,1140.1555693996000,89.18086064535390
