Oligo_Identity,New_title,koff_median_MAX_181206,koff_err_MAX_181206,kon_inferred_MAX_181206,kon_err_MAX_181206,koff_median_MAX_190503,koff_err_MAX_190503,kon_inferred_MAX_190503,kon_err_MAX_190503,koff_median_MAX_190510_d3,koff_err_MAX_190510_d3,kon_inferred_MAX_190510_d3,kon_err_MAX_190510_d3,koff_median_Pho4_181206,koff_err_Pho4_181206,kon_inferred_Pho4_181206,kon_err_Pho4_181206,koff_median_Pho4_181217,koff_err_Pho4_181217,kon_inferred_Pho4_181217,kon_err_Pho4_181217,koff_median_Pho4_200710_d2,koff_err_Pho4_200710_d2,kon_inferred_Pho4_200710_d2,kon_err_Pho4_200710_d2
1,Motif + repeat 1,0.04488443123822585,0.004385709094671346,133588.7316722126,21193.260606078173,0.058143375730034405,0.0003092261077385115,19993.37932512269,1630.93348099687,0.058569113907502565,0.004474824437094311,37613.37574673271,2318.950134067305,0.1071843353619561,0.011537999845992592,179462.71171735544,71539.75632747359,0.21179442717698155,0.004268227080018112,591854.7778965173,94273.79768412492,0.2283951292239475,0.005738834005403324,251105.49158530886,14798.313733238145
2,Motif + short repeat 3,0.05433503775362855,0.006374006931282565,187462.90150070743,28936.47412550307,0.07603624901392421,0.0009485873265168772,28915.87422685145,2327.9281677412546,0.06563295286953001,0.01623717918736595,49773.50017007614,9178.26326678494,0.15537784494697335,0.010153392294680378,217657.30576647335,39646.17424834254,0.22115414694472435,0.005947810492009892,,,0.24414340119058286,0.011524687490594621,185751.66115429034,17138.72514897111
3,Mutated motif + random 1,0.0935183060452932,0.04706143176017673,18948.157837573115,9821.749473189726,0.08465013763793441,0.015862673234104414,8456.75865599027,1551.964761565233,0.10762768512181786,0.005068226407717069,8174.711365720464,598.0129651940101,0.2550102941130789,0.021453916542888828,23935.076980700465,4998.225675489438,0.34128779922943786,0.012052580540479344,19859.898263294082,3901.8978310199864,0.29319007697992694,0.03391952384712454,39669.47407744194,7828.925589001003
5,Motif + repeat 2,0.0623445862980376,0.006351487515860475,,,0.04595987477408421,0.0036739367309929828,15674.871479955273,1969.9788420459022,0.06236671569906821,0.003298537230897205,43372.18978186151,2768.084091427619,0.10478550215242655,0.014901340629725307,293484.5182199476,156098.75872080858,0.21421443376326124,0.010637809741703846,,,0.25518717020401094,0.00823151161792691,162339.04228892698,10681.089067383216
6,Motif + short repeat 4,0.077190483531656,0.006400056610457417,194114.50459835236,29169.183426558226,0.06275307056781922,0.004633188122209704,22483.46334780521,2115.737613367537,0.08176605674661067,0.008466380934311115,73733.64760374771,6662.971945239886,0.20742085926393156,0.016596692848069174,97554.62574899291,18810.244757169366,0.2811781955327197,0.010328805115744544,368161.6215472235,58659.8305526615,0.24087236322076666,0.007412718828252298,131903.86427472247,9628.070894814702
7,Mutated motif + random 2,0.10112138195641496,0.04193619176383522,22248.893205940174,9795.489919628219,0.09166826615599741,0.010252992620434519,7010.289771379003,1147.3013747366074,0.14374638100285955,0.003957232799574302,10412.472393363187,329.16225796349494,0.23408762850758724,0.03782284241479567,19438.281016739907,5802.130125018496,0.3334640270104015,0.0402935513788205,25254.95382449361,4918.37423499629,0.33485368613594846,0.046948602419790146,37206.776048993,7846.21449475773
9,Motif + repeat 3,0.03790644362353865,0.008586178827989243,140762.96606423243,37224.480424504036,0.05510824310190181,0.0032042958296328076,23674.387601035934,2865.480732050468,0.061898432822764665,0.021230921521005898,45156.871486942924,11210.868654887883,0.1716774457807082,0.03393714735475378,229945.49983106783,88994.28470380648,0.20935329140385586,0.008850397668460673,513213.85406063765,84263.51879912069,0.223122762763691,0.00791837119255447,291952.84784832096,22627.44443158231
10,Motif + short repeat 5,0.0685696816144986,0.005103128213963527,146984.43678451068,17603.32021746948,0.0732714600066497,0.0044080766364660235,15611.156652739606,3115.7649684238722,0.11280510984645345,0.031929998259988386,65310.011274126395,15122.141376947915,0.17675057838333094,0.026969906753058447,146160.7129007272,44599.011890222195,0.25571149282226857,0.015637735371584444,,,0.26394919556525687,0.015569128312832336,231502.79018875642,26329.116302577433
11,Mutated motif + random 3,0.1540532826683535,0.04835478807914739,30674.80270581588,10235.78848141001,0.09455602351230896,0.02257191289707504,13795.217157653642,3503.1709549242073,0.15893184022650086,0.047739833531525035,17175.59059065558,4969.620878671593,0.27888603441332244,0.027441494400422164,23996.67130865041,4942.179153775239,0.35485688951320693,0.03149271256326983,27403.68292232127,4405.737602619671,0.316246986132583,0.02701427380212798,46443.77788562985,6354.729579710218
13,Motif + repeat 4,0.0702393763308161,0.005404712935620541,,,0.065790003400573,0.017002297549412293,25661.260287586476,5683.383404238484,0.047712065536454656,0.020114692084858003,33192.719690777594,9066.155763016666,0.15265829812717274,0.02611157825010826,139815.86645993026,51054.50564784325,0.2292325367933688,0.006405621791125678,596111.7539401815,112897.58832432856,0.2382015778199246,0.009555255504940066,240873.32663644635,20119.210815715243
14,Mutated motif + repeat 1,0.1233999350722874,0.03466736492229916,39082.27780219782,11591.282964703934,0.07829238323077606,0.010212762790530423,9240.227651152542,1647.0021128780415,0.09890615637990685,0.03974697355058119,16181.583651326693,5199.975037197174,0.31782859783688333,0.03498685995226922,38226.21298751265,8683.640500671896,0.40236330710064455,0.03933364822243519,38946.56204578264,6447.832060356829,0.3126928364079671,0.02516434570666173,59109.870613036735,10285.829862905814
15,Motif + random 1,0.07550340230109226,0.004742398886317035,104230.19941930033,15160.102186784816,0.06258123944943851,0.013537555738074938,21450.373221724916,4026.1981016416194,0.05778278767138616,0.01684209230006194,28365.95893958217,5810.694297325066,0.19235816089029756,0.018650974889460274,87586.58519738447,18744.226551245287,0.25538724519972034,0.007698673986332681,294381.0568288119,48939.083304549386,0.24922551949526014,0.005934349035276242,173671.17274994875,11497.45930053128
16,Motif + repeat 8,0.0746525588084391,0.008653068185695138,,,0.058386383755345064,0.004555147009833564,,,0.06629790317724236,0.016506037293596183,61210.27641889094,11238.209836060385,0.18250457549636726,0.013522151295792314,144998.17357242847,29594.631787027716,0.2544061354257515,0.010918158017410617,,,0.2998055285322434,0.04245835049638599,259685.83394274372,54565.62671276552
