x,y,median_button,summed_button,summed_button_BGsub,std_button,x_button_center,y_button_center,radius_button_disk,median_button_annulus,summed_button_annulus_normed,std_button_annulus_localBG,inner_radius_button_annulus,outer_radius_button_annulus,xslice,yslice,id,step
1,1,2061,913007,4552,114,29,81,12,2054,908455,116,12,12,"(508, 608)","(480, 580)",Empty,1
1,1,2077,917133,1922,114,29,81,12,2060,915211,132,12,12,"(508, 608)","(480, 580)",Empty,2
1,1,2300,1017859,891,119,29,81,12,2296,1016968,127,12,12,"(508, 608)","(480, 580)",Empty,3
1,1,2296,1016470,5851,123,29,81,12,2280,1010619,137,12,12,"(508, 608)","(480, 580)",Empty,4
1,1,2247,994581,3603,126,29,81,12,2232,990978,136,12,12,"(508, 608)","(480, 580)",Empty,5
1,1,2199,972854,14462,109,29,81,12,2170,958392,101,12,12,"(508, 608)","(480, 580)",Empty,6
1,2,2132,939080,11532,96,29,38,12,2100,927548,119,12,12,"(607, 707)","(479, 579)",Empty,1
1,2,2140,945387,14117,101,29,38,12,2105,931270,118,12,12,"(607, 707)","(479, 579)",Empty,2
1,2,2371,1047916,15154,107,29,38,12,2336,1032762,118,12,12,"(607, 707)","(479, 579)",Empty,3
1,2,2362,1043162,13562,105,29,38,12,2333,1029600,121,12,12,"(607, 707)","(479, 579)",Empty,4
1,2,2332,1027548,11463,113,29,38,12,2280,1016085,169,12,12,"(607, 707)","(479, 579)",Empty,5
1,2,2262,994748,-40877,100,29,38,12,2254,1035625,312,12,12,"(607, 707)","(479, 579)",Empty,6
1,3,2164,953821,11699,112,29,31,12,2129,942122,121,12,12,"(707, 807)","(479, 579)",Empty,1
1,3,2167,956845,6290,115,29,31,12,2146,950555,123,12,12,"(707, 807)","(479, 579)",Empty,2
1,3,2406,1061169,6559,114,29,31,12,2382,1054610,123,12,12,"(707, 807)","(479, 579)",Empty,3
1,3,2399,1058073,12489,121,29,31,12,2362,1045584,125,12,12,"(707, 807)","(479, 579)",Empty,4
1,3,2334,1031195,7319,118,29,31,12,2305,1023876,139,12,12,"(707, 807)","(479, 579)",Empty,5
1,3,2299,1013452,-11154,109,29,31,12,2272,1024606,247,12,12,"(707, 807)","(479, 579)",Empty,6
1,4,2108,933402,9130,125,30,31,12,2092,924272,123,12,12,"(807, 907)","(479, 579)",Empty,1
1,4,2135,941015,7197,127,30,31,12,2110,933818,133,12,12,"(807, 907)","(479, 579)",Empty,2
1,4,2368,1049416,8087,127,30,31,12,2358,1041329,129,12,12,"(807, 907)","(479, 579)",Empty,3
1,4,2369,1045262,9269,127,30,31,12,2345,1035993,127,12,12,"(807, 907)","(479, 579)",Empty,4
1,4,2314,1022193,7568,123,30,31,12,2285,1014625,150,12,12,"(807, 907)","(479, 579)",Empty,5
1,4,2253,995522,-23728,110,30,31,12,2242,1019250,272,12,12,"(807, 907)","(479, 579)",Empty,6
1,5,2232,981484,-17651,104,65,78,12,2253,999135,146,12,12,"(907, 1007)","(479, 579)",Empty,1
1,5,2237,987253,-16500,106,65,78,12,2263,1003753,152,12,12,"(907, 1007)","(479, 579)",Empty,2
1,5,2489,1097434,-25214,114,65,78,12,2531,1122648,149,12,12,"(907, 1007)","(479, 579)",Empty,3
1,5,2469,1088638,-28191,112,65,78,12,2520,1116829,154,12,12,"(907, 1007)","(479, 579)",Empty,4
1,5,2409,1062493,-28649,112,65,78,12,2450,1091142,178,12,12,"(907, 1007)","(479, 579)",Empty,5
1,5,2414,1061774,3438,130,65,78,12,2390,1058336,143,12,12,"(907, 1007)","(479, 579)",Empty,6
1,6,2169,955390,-13478,106,58,78,12,2191,968868,132,12,12,"(1007, 1107)","(478, 578)",Empty,1
1,6,2181,960549,-19755,111,58,78,12,2215,980304,142,12,12,"(1007, 1107)","(478, 578)",Empty,2
1,6,2419,1069184,-15466,108,58,78,12,2450,1084650,138,12,12,"(1007, 1107)","(478, 578)",Empty,3
1,6,2413,1062895,-20854,109,58,78,12,2442,1083749,148,12,12,"(1007, 1107)","(478, 578)",Empty,4
1,6,2348,1038169,-37277,108,58,78,12,2393,1075446,209,12,12,"(1007, 1107)","(478, 578)",Empty,5
1,6,2327,1029855,-12798,108,58,78,12,2338,1042653,198,12,12,"(1007, 1107)","(478, 578)",Empty,6
1,7,2109,929405,-9124,95,66,77,12,2121,938529,132,12,12,"(1107, 1207)","(478, 578)",Empty,1
1,7,2101,927291,-18086,101,66,77,12,2135,945377,141,12,12,"(1107, 1207)","(478, 578)",Empty,2
1,7,2351,1036294,-15114,99,66,77,12,2368,1051408,134,12,12,"(1107, 1207)","(478, 578)",Empty,3
