x,y,median_chamber,sum_chamber,std_chamber,x_center_chamber,y_center_chamber,radius_chamber,xslice,yslice,id
1,1,,,,,,,"(414, 514)","(546, 646)",0_0
1,2,,,,,,,"(513, 613)","(546, 646)",0_0
1,3,,,,,,,"(612, 712)","(546, 646)",0_0
1,4,,,,,,,"(712, 812)","(547, 647)",0_0
1,5,,,,,,,"(811, 911)","(547, 647)",0_0
1,6,,,,,,,"(911, 1011)","(547, 647)",0_0
1,7,,,,,,,"(1010, 1110)","(548, 648)",0_0
1,8,,,,,,,"(1110, 1210)","(548, 648)",0_0
1,9,3285.0,12374673.0,801.0,49.0,45.0,36.0,"(1209, 1309)","(549, 649)",32_4
1,10,3259.0,12032552.0,598.0,49.0,45.0,35.0,"(1309, 1409)","(549, 649)",32_4
1,11,2934.0,10761475.0,527.0,49.0,45.0,35.0,"(1408, 1508)","(549, 649)",30_4
1,12,2984.0,11226820.0,680.0,47.0,43.0,36.0,"(1508, 1608)","(550, 650)",30_4
1,13,2839.0,10824573.0,628.0,47.0,45.0,36.0,"(1607, 1707)","(550, 650)",32_4
1,14,2857.0,10584430.0,510.0,49.0,45.0,35.0,"(1706, 1806)","(550, 650)",32_4
1,15,2918.0,10738742.0,505.0,47.0,43.0,35.0,"(1806, 1906)","(551, 651)",30_4
1,16,2937.0,10821823.0,501.0,47.0,43.0,35.0,"(1905, 2005)","(551, 651)",30_4
1,17,3265.0,12110737.0,571.0,47.0,43.0,35.0,"(2005, 2105)","(552, 652)",32_4
1,18,3186.0,12083459.0,747.0,47.0,41.0,36.0,"(2104, 2204)","(552, 652)",32_4
1,19,1867.0,7136166.0,380.0,47.0,41.0,36.0,"(2204, 2304)","(552, 652)",30_4
1,20,1951.0,7260784.0,303.0,47.0,43.0,35.0,"(2303, 2403)","(553, 653)",30_4
1,21,6298.0,22264619.0,874.0,49.0,43.0,34.0,"(2403, 2503)","(553, 653)",32_2
1,22,6038.0,21319994.0,867.0,49.0,43.0,34.0,"(2502, 2602)","(554, 654)",32_2
1,23,6103.0,21346931.0,922.0,49.0,41.0,34.0,"(2602, 2702)","(554, 654)",30_2
1,24,5548.0,19384336.0,858.0,49.0,41.0,34.0,"(2701, 2801)","(554, 654)",30_2
1,25,5840.0,21568801.0,1034.0,47.0,43.0,35.0,"(2800, 2900)","(555, 655)",32_2
1,26,6047.0,21386098.0,848.0,47.0,43.0,34.0,"(2900, 3000)","(555, 655)",32_2
1,27,6018.0,23541046.0,1557.0,47.0,43.0,37.0,"(2999, 3099)","(555, 655)",30_2
1,28,6067.0,21000648.0,1043.0,51.0,41.0,34.0,"(3099, 3199)","(556, 656)",30_2
1,29,6515.0,24647021.0,1500.0,49.0,41.0,36.0,"(3198, 3298)","(556, 656)",32_2
1,30,6122.0,22513722.0,1139.0,49.0,41.0,35.0,"(3298, 3398)","(557, 657)",32_2
1,31,3899.0,14746069.0,872.0,49.0,41.0,36.0,"(3397, 3497)","(557, 657)",30_2
1,32,3917.0,14390197.0,703.0,51.0,41.0,35.0,"(3497, 3597)","(557, 657)",30_2
1,33,3038.0,11301281.0,527.0,51.0,43.0,35.0,"(3596, 3696)","(558, 658)",28_4
1,34,3027.0,11568243.0,662.0,51.0,43.0,36.0,"(3696, 3796)","(558, 658)",28_4
1,35,3150.0,11644370.0,514.0,51.0,43.0,35.0,"(3795, 3895)","(558, 658)",26_4
1,36,3010.0,11801753.0,757.0,49.0,43.0,37.0,"(3894, 3994)","(559, 659)",26_4
1,37,2717.0,10105145.0,473.0,51.0,43.0,35.0,"(3994, 4094)","(559, 659)",28_4
1,38,2733.0,10125051.0,504.0,51.0,43.0,35.0,"(4093, 4193)","(560, 660)",28_4
1,39,2923.0,10957397.0,671.0,53.0,43.0,36.0,"(4193, 4293)","(560, 660)",26_4
1,40,2848.0,10468285.0,486.0,53.0,45.0,35.0,"(4292, 4392)","(560, 660)",26_4
1,41,2643.0,10085874.0,587.0,51.0,43.0,36.0,"(4392, 4492)","(561, 661)",28_4
1,42,2804.0,10309069.0,557.0,53.0,43.0,35.0,"(4491, 4591)","(561, 661)",28_4
1,43,3014.0,11019553.0,539.0,51.0,43.0,35.0,"(4591, 4691)","(562, 662)",26_4
1,44,3024.0,11377910.0,665.0,51.0,43.0,36.0,"(4690, 4790)","(562, 662)",26_4
1,45,5952.0,21802344.0,1141.0,53.0,43.0,35.0,"(4790, 4890)","(562, 662)",28_2
1,46,5963.0,20990587.0,894.0,51.0,45.0,34.0,"(4889, 4989)","(563, 663)",28_2
1,47,6115.0,22394989.0,1049.0,53.0,45.0,35.0,"(4988, 5088)","(563, 663)",26_2
1,48,6887.0,23747292.0,1198.0,55.0,43.0,34.0,"(5088, 5188)","(563, 663)",26_2
1,49,6439.0,23716363.0,1149.0,53.0,45.0,35.0,"(5187, 5287)","(564, 664)",28_2
1,50,6196.0,21615543.0,1087.0,55.0,43.0,34.0,"(5287, 5387)","(564, 664)",28_2
1,51,6337.0,23174502.0,1103.0,53.0,45.0,35.0,"(5386, 5486)","(565, 665)",26_2
1,52,5975.0,21063960.0,734.0,53.0,45.0,34.0,"(5486, 5586)","(565, 665)",26_2
1,53,5431.0,20506399.0,1235.0,53.0,45.0,36.0,"(5585, 5685)","(565, 665)",28_2
1,54,5809.0,21311451.0,1064.0,53.0,45.0,35.0,"(5685, 5785)","(566, 666)",28_2
1,55,7182.0,25027164.0,1119.0,55.0,45.0,34.0,"(5784, 5884)","(566, 666)",26_2
1,56,6749.0,24666225.0,1234.0,53.0,45.0,35.0,"(5884, 5984)","(567, 667)",26_2
2,1,2481.0,9334256.0,483.0,49.0,45.0,35.0,"(412, 512)","(745, 845)",24_4
2,2,2682.0,10075349.0,511.0,49.0,45.0,35.0,"(511, 611)","(745, 845)",24_4
2,3,2923.0,10943578.0,533.0,49.0,47.0,35.0,"(610, 710)","(745, 845)",22_4
2,4,2659.0,10417797.0,761.0,51.0,47.0,37.0,"(710, 810)","(746, 846)",22_4
2,5,2672.0,9956710.0,502.0,49.0,47.0,35.0,"(809, 909)","(746, 846)",24_4
2,6,2800.0,10416424.0,552.0,47.0,45.0,35.0,"(909, 1009)","(746, 846)",24_4
2,7,2449.0,9093830.0,467.0,47.0,45.0,35.0,"(1008, 1108)","(747, 847)",22_4
2,8,2465.0,9363481.0,590.0,47.0,43.0,36.0,"(1108, 1208)","(747, 847)",22_4
2,9,2720.0,10126949.0,515.0,47.0,45.0,35.0,"(1207, 1307)","(748, 848)",24_4
2,10,2573.0,10228631.0,718.0,45.0,43.0,37.0,"(1307, 1407)","(748, 848)",24_4
2,11,2524.0,9341536.0,494.0,49.0,45.0,35.0,"(1406, 1506)","(748, 848)",22_4
2,12,2536.0,9422752.0,489.0,47.0,43.0,35.0,"(1506, 1606)","(749, 849)",22_4
2,13,5586.0,20760020.0,1164.0,47.0,43.0,35.0,"(1605, 1705)","(749, 849)",24_2
2,14,5664.0,21696592.0,1393.0,47.0,43.0,36.0,"(1704, 1804)","(749, 849)",24_2
2,15,6083.0,22591338.0,1169.0,47.0,43.0,35.0,"(1804, 1904)","(750, 850)",22_2
2,16,6121.0,21855099.0,940.0,47.0,45.0,34.0,"(1903, 2003)","(750, 850)",22_2
2,17,6548.0,24423227.0,1253.0,47.0,43.0,35.0,"(2003, 2103)","(751, 851)",24_2
2,18,6556.0,24552194.0,1275.0,47.0,43.0,35.0,"(2102, 2202)","(751, 851)",24_2
2,19,5702.0,22025594.0,1271.0,47.0,43.0,36.0,"(2202, 2302)","(751, 851)",22_2
2,20,5790.0,21578108.0,1143.0,47.0,43.0,35.0,"(2301, 2401)","(752, 852)",22_2
2,21,5716.0,21282691.0,1152.0,49.0,43.0,35.0,"(2401, 2501)","(752, 852)",24_2
2,22,5575.0,19911849.0,868.0,47.0,45.0,34.0,"(2500, 2600)","(753, 853)",24_2
2,23,5464.0,20354927.0,1055.0,49.0,43.0,35.0,"(2600, 2700)","(753, 853)",22_2
2,24,5276.0,20337154.0,1195.0,49.0,43.0,36.0,"(2699, 2799)","(753, 853)",22_2
2,25,3074.0,11807466.0,742.0,49.0,45.0,36.0,"(2798, 2898)","(754, 854)",20_4
2,26,3117.0,12024772.0,721.0,49.0,45.0,36.0,"(2898, 2998)","(754, 854)",20_4
2,27,2981.0,11438972.0,677.0,49.0,43.0,36.0,"(2997, 3097)","(754, 854)",18_4
2,28,2922.0,10907517.0,538.0,49.0,43.0,35.0,"(3097, 3197)","(755, 855)",18_4
2,29,2942.0,10956591.0,617.0,51.0,43.0,35.0,"(3196, 3296)","(755, 855)",20_4
2,30,3175.0,11401829.0,507.0,49.0,43.0,34.0,"(3296, 3396)","(756, 856)",20_4
2,31,2130.0,8218555.0,463.0,49.0,43.0,36.0,"(3395, 3495)","(756, 856)",18_4
2,32,2020.0,7549358.0,359.0,51.0,43.0,35.0,"(3495, 3595)","(756, 856)",18_4
2,33,2986.0,11169795.0,598.0,51.0,43.0,35.0,"(3594, 3694)","(757, 857)",20_4
2,34,3049.0,11393683.0,618.0,51.0,43.0,35.0,"(3694, 3794)","(757, 857)",20_4
2,35,2487.0,9267549.0,444.0,51.0,45.0,35.0,"(3793, 3893)","(757, 857)",18_4
2,36,2612.0,9750977.0,476.0,51.0,45.0,35.0,"(3892, 3992)","(758, 858)",18_4
2,37,6277.0,23565702.0,1242.0,51.0,45.0,35.0,"(3992, 4092)","(758, 858)",20_2
2,38,5729.0,21466074.0,1134.0,51.0,45.0,35.0,"(4091, 4191)","(759, 859)",20_2
2,39,6602.0,24690720.0,1268.0,51.0,45.0,35.0,"(4191, 4291)","(759, 859)",18_2
2,40,6018.0,22326361.0,1235.0,53.0,45.0,35.0,"(4290, 4390)","(759, 859)",18_2
2,41,6334.0,23671379.0,1288.0,51.0,45.0,35.0,"(4390, 4490)","(760, 860)",20_2
2,42,5793.0,22268376.0,1403.0,51.0,45.0,36.0,"(4489, 4589)","(760, 860)",20_2
2,43,4305.0,15377414.0,675.0,51.0,45.0,34.0,"(4589, 4689)","(761, 861)",18_2
2,44,4125.0,15867329.0,955.0,51.0,45.0,36.0,"(4688, 4788)","(761, 861)",18_2
2,45,6021.0,23233810.0,1439.0,51.0,45.0,36.0,"(4788, 4888)","(761, 861)",20_2
2,46,6143.0,21858039.0,1090.0,53.0,45.0,34.0,"(4887, 4987)","(762, 862)",20_2
2,47,5420.0,20225101.0,1046.0,53.0,47.0,35.0,"(4986, 5086)","(762, 862)",18_2
2,48,5451.0,20231979.0,1091.0,53.0,45.0,35.0,"(5086, 5186)","(762, 862)",18_2
2,49,3272.0,12303696.0,643.0,53.0,47.0,35.0,"(5185, 5285)","(763, 863)",16_4
2,50,3180.0,12726234.0,898.0,51.0,45.0,37.0,"(5285, 5385)","(763, 863)",16_4
2,51,2323.0,8675259.0,422.0,53.0,47.0,35.0,"(5384, 5484)","(764, 864)",14_4
2,52,2688.0,10380361.0,584.0,53.0,45.0,36.0,"(5484, 5584)","(764, 864)",14_4
2,53,2547.0,9571767.0,503.0,53.0,47.0,35.0,"(5583, 5683)","(764, 864)",16_4
2,54,2416.0,9115627.0,474.0,53.0,47.0,35.0,"(5683, 5783)","(765, 865)",16_4
