x,y,median_button,summed_button,summed_button_BGsub,std_button,x_button_center,y_button_center,radius_button_disk,median_button_annulus,summed_button_annulus_normed,std_button_annulus_localBG,inner_radius_button_annulus,outer_radius_button_annulus,xslice,yslice,id,postwash_images
1,1,3842,1696525,-274132,118,50,40,12,3910,1970657,1834,12,12,"(471, 571)","(459, 559)",0_0,0
1,1,3767,1661569,-273037,118,50,40,12,3825,1934606,1841,12,12,"(471, 571)","(459, 559)",0_0,1
1,1,3727,1642170,-269920,116,50,40,12,3778,1912090,1835,12,12,"(471, 571)","(459, 559)",0_0,2
1,1,3751,1653651,-278093,124,50,40,12,3812,1931744,1895,12,12,"(471, 571)","(459, 559)",0_0,3
1,1,3730,1647778,-285338,125,50,40,12,3804,1933116,1917,12,12,"(471, 571)","(459, 559)",0_0,4
1,1,3680,1625739,-278219,122,50,40,12,3748,1903958,1871,12,12,"(471, 571)","(459, 559)",0_0,5
1,1,3712,1637845,-283269,128,50,40,12,3769,1921114,1930,12,12,"(471, 571)","(459, 559)",0_0,6
1,1,3697,1628592,-282672,122,50,40,12,3749,1911264,1919,12,12,"(471, 571)","(459, 559)",0_0,7
1,1,3638,1602882,-275944,118,50,40,12,3683,1878826,1921,12,12,"(471, 571)","(459, 559)",0_0,8
1,1,3692,1629789,-283944,120,50,40,12,3752,1913733,1933,12,12,"(471, 571)","(459, 559)",0_0,9
1,1,3616,1594557,-271657,113,50,40,12,3680,1866214,1855,12,12,"(471, 571)","(459, 559)",0_0,10
1,1,3667,1617976,-272946,123,50,40,12,3707,1890922,1898,12,12,"(471, 571)","(459, 559)",0_0,11
1,1,3715,1639228,-275350,126,50,40,12,3749,1914578,1941,12,12,"(471, 571)","(459, 559)",0_0,12
1,1,3651,1614664,-271767,122,50,40,12,3703,1886431,1908,12,12,"(471, 571)","(459, 559)",0_0,13
1,1,3740,1650590,-288969,123,50,40,12,3800,1939559,1971,12,12,"(471, 571)","(459, 559)",0_0,14
1,1,3616,1592840,-280075,121,50,40,12,3659,1872915,1935,12,12,"(471, 571)","(459, 559)",0_0,15
1,1,3652,1615216,-292858,115,50,40,12,3724,1908074,1992,12,12,"(471, 571)","(459, 559)",0_0,16
